external_id,title,platform,level,rating,duration_minutes,description,subjects,roles,products,last_modified,url
official-python-tutorial,The Python Tutorial,Official Learning Catalog,Beginner,,480,"Learn Python syntax, data structures, modules, files, exceptions, classes, and virtual environments.",python|programming|data-structures,data-analyst|data-engineer|data-scientist,python,,https://docs.python.org/3/tutorial/
official-pandas-getting-started,pandas Getting Started,Official Learning Catalog,Beginner,,300,"Work with pandas DataFrames, tabular files, data cleaning, joins, reshaping, plotting, and time series.",python|pandas|data-analysis|data-cleaning,data-analyst|data-scientist,python|pandas,,https://pandas.pydata.org/docs/getting_started/
official-numpy-learning,NumPy Learning Resources,Official Learning Catalog,Beginner,,240,"Learn NumPy arrays, indexing, vectorized operations, linear algebra, and numerical computing.",python|numpy|numerical-computing,data-scientist|data-analyst,python|numpy,,https://numpy.org/learn/
official-postgresql-tutorial,PostgreSQL SQL Tutorial,Official Learning Catalog,Beginner,,360,"Learn PostgreSQL, SQL queries, joins, aggregates, transactions, views, foreign keys, and window functions.",sql|databases|data-modeling|transactions,data-analyst|data-engineer|analytics-engineer,postgresql|sql,,https://www.postgresql.org/docs/current/tutorial.html
official-docker-getting-started,Docker Getting Started,Official Learning Catalog,Beginner,,180,"Learn Docker containers, images, Dockerfiles, registries, volumes, networking, and Docker Compose.",docker|containers|deployment|devops,data-engineer|data-platform-engineer,docker,,https://docs.docker.com/get-started/
official-fastapi-tutorial,FastAPI Tutorial,Official Learning Catalog,Intermediate,,300,"Build typed Python APIs with FastAPI, validation, dependency injection, testing, and documentation.",python|apis|backend|testing,data-engineer|ml-engineer,python|fastapi|apis,,https://fastapi.tiangolo.com/tutorial/
official-scikit-learn-guide,scikit-learn User Guide,Official Learning Catalog,Intermediate,,600,"Learn supervised and unsupervised machine learning, preprocessing, model selection, metrics, and pipelines.",machine-learning|model-evaluation|python,data-scientist|ml-engineer,python|scikit-learn,,https://scikit-learn.org/stable/user_guide.html
official-pytorch-tutorials,PyTorch Tutorials,Official Learning Catalog,Intermediate,,600,"Build deep learning models with PyTorch tensors, neural networks, training loops, NLP, and deployment.",deep-learning|machine-learning|python|nlp,data-scientist|ml-engineer|ai-engineer,python|pytorch,,https://docs.pytorch.org/tutorials/
official-tensorflow-tutorials,TensorFlow Tutorials,Official Learning Catalog,Intermediate,,600,"Learn TensorFlow model building, deep learning, computer vision, NLP, evaluation, and deployment.",deep-learning|machine-learning|python|nlp,data-scientist|ml-engineer|ai-engineer,python|tensorflow,,https://www.tensorflow.org/tutorials
official-spark-quick-start,Apache Spark Quick Start,Official Learning Catalog,Intermediate,,240,"Process distributed datasets with Apache Spark, DataFrames, SQL, transformations, actions, and caching.",spark|big-data|distributed-computing|sql,data-engineer|data-platform-engineer,spark|python|sql,,https://spark.apache.org/docs/latest/quick-start.html
official-kafka-quickstart,Apache Kafka Quickstart,Official Learning Catalog,Intermediate,,180,"Learn Kafka topics, producers, consumers, event streams, connectors, and stream processing fundamentals.",kafka|streaming|event-driven|data-pipelines,data-engineer|data-platform-engineer,kafka,,https://kafka.apache.org/quickstart/
official-github-actions-tutorials,GitHub Actions Tutorials,Official Learning Catalog,Intermediate,,240,"Build CI workflows with GitHub Actions, automated tests, artifacts, containers, and deployment jobs.",github|ci-cd|automation|testing,data-engineer|analytics-engineer,github|docker,,https://docs.github.com/en/actions/tutorials
official-aws-skill-builder,AWS Skill Builder Data Learning,Official Learning Catalog,Intermediate,,480,"Explore AWS cloud, storage, analytics, databases, data engineering, and certification learning paths.",cloud|data-engineering|databases|certification,cloud-data-engineer|data-engineer,aws,,https://skillbuilder.aws/
official-google-cloud-training,Google Cloud Data Training,Official Learning Catalog,Intermediate,,480,"Explore Google Cloud data engineering, BigQuery, analytics, machine learning, and certification training.",cloud|data-engineering|analytics|machine-learning,cloud-data-engineer|data-engineer|data-scientist,gcp|bigquery,,https://cloud.google.com/learn/training
official-microsoft-power-bi-training,Microsoft Learn Power BI Training,Official Learning Catalog,Beginner,,480,"Learn Power BI data preparation, data modeling, DAX, visualization, dashboards, and report delivery.",business-intelligence|data-visualization|data-modeling|dax,data-analyst|bi-analyst|bi-developer,power-bi|dax,,https://learn.microsoft.com/en-us/training/powerplatform/power-bi/official-javascript-guide,MDN JavaScript Guide,Official Learning Catalog,Beginner,,360,"Learn JavaScript syntax, objects, functions, promises, modules, browser APIs, and asynchronous programming.",javascript|web-development|programming,frontend-engineer|full-stack-engineer,javascript,,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide
official-typescript-handbook,TypeScript Handbook,Official Learning Catalog,Intermediate,,300,"Learn TypeScript types, interfaces, generics, narrowing, modules, classes, and typed JavaScript application design.",typescript|javascript|programming,frontend-engineer|full-stack-engineer|backend-engineer,typescript,,https://www.typescriptlang.org/docs/handbook/intro.html
official-react-learn,React Learn,Official Learning Catalog,Beginner,,420,"Build component-based user interfaces with React, JSX, state, hooks, events, forms, and shared application state.",react|javascript|frontend,frontend-engineer|full-stack-engineer,react|javascript,,https://react.dev/learn
official-nextjs-learn,Next.js Learn,Official Learning Catalog,Intermediate,,360,"Build full-stack web applications with Next.js, React, routing, data fetching, rendering, authentication, and deployment.",nextjs|react|typescript|web-development,frontend-engineer|full-stack-engineer,nextjs|react|typescript,,https://nextjs.org/learn
official-nodejs-learn,Node.js Learn,Official Learning Catalog,Intermediate,,360,"Learn Node.js modules, asynchronous I/O, HTTP services, testing, package management, and backend JavaScript development.",nodejs|javascript|backend|apis,backend-engineer|full-stack-engineer,nodejs|javascript,,https://nodejs.org/en/learn
official-spring-guides,Spring Guides,Official Learning Catalog,Intermediate,,420,"Build Java and Spring Boot services with REST APIs, persistence, security, testing, and production configuration.",java|spring-boot|apis|microservices,backend-engineer|software-engineer,java|spring-boot,,https://spring.io/guides
official-dotnet-training,.NET Learning Center,Official Learning Catalog,Intermediate,,420,"Build C# and .NET applications, web APIs, cloud services, tests, and cross-platform software.",csharp|dotnet|apis|software-engineering,backend-engineer|software-engineer,dotnet|csharp,,https://dotnet.microsoft.com/en-us/learn
official-kubernetes-tutorials,Kubernetes Tutorials,Official Learning Catalog,Intermediate,,480,"Learn Kubernetes workloads, services, configuration, storage, scaling, security, and cluster operations.",kubernetes|containers|cloud|devops,platform-engineer|devops-engineer|mlops-engineer,kubernetes,,https://kubernetes.io/docs/tutorials/
official-terraform-tutorials,HashiCorp Terraform Tutorials,Official Learning Catalog,Intermediate,,420,"Learn Terraform infrastructure as code, providers, modules, state, automation, and multi-cloud workflows.",terraform|infrastructure-as-code|cloud|devops,cloud-engineer|devops-engineer,terraform,,https://developer.hashicorp.com/terraform/tutorials
official-postgresql-admin,PostgreSQL Server Administration,Official Learning Catalog,Advanced,,480,"Administer PostgreSQL roles, databases, backups, replication, monitoring, security, and performance tuning.",postgresql|database-administration|sql|performance,database-administrator|database-reliability-engineer,postgresql|sql,,https://www.postgresql.org/docs/current/admin.html
official-oracle-database-docs,Oracle Database Documentation,Official Learning Catalog,Advanced,,600,"Learn Oracle Database architecture, SQL, PL/SQL, administration, backup, recovery, security, and performance tuning.",oracle-database|plsql|database-administration|sql,database-administrator|database-engineer,oracle-database|sql,,https://docs.oracle.com/en/database/
official-mongodb-university,MongoDB University Learning Paths,Official Learning Catalog,Intermediate,,420,"Learn MongoDB document modeling, queries, indexes, aggregation, administration, and application development.",mongodb|database|data-modeling|backend,database-engineer|backend-engineer,mongodb,,https://learn.mongodb.com/
official-mlflow-guide,MLflow Getting Started,Official Learning Catalog,Intermediate,,300,"Track machine learning experiments, package models, manage model registries, and build repeatable MLOps workflows with MLflow.",mlflow|mlops|machine-learning|model-registry,mlops-engineer|machine-learning-engineer,mlflow|python,,https://mlflow.org/docs/latest/ml/getting-started/
official-huggingface-course,Hugging Face Course,Official Learning Catalog,Intermediate,,600,"Learn transformers, natural language processing, Hugging Face models, tokenizers, datasets, fine-tuning, and model sharing.",hugging-face|nlp|transformers|machine-learning,nlp-engineer|ai-engineer,hugging-face|python,,https://huggingface.co/learn/nlp-course/chapter1/1
official-opencv-tutorials,OpenCV Python Tutorials,Official Learning Catalog,Intermediate,,480,"Learn OpenCV image processing, feature detection, video analysis, object detection, and computer vision workflows.",opencv|computer-vision|python|image-processing,computer-vision-engineer|machine-learning-engineer,opencv|python,,https://docs.opencv.org/4.x/d6/d00/tutorial_py_root.html
official-owasp-top-ten,OWASP Top 10 Learning,Official Learning Catalog,Intermediate,,240,"Study common web application security risks, secure design, access control, cryptography, injection, and vulnerability prevention.",cybersecurity|application-security|iam|secure-development,security-engineer|software-engineer,owasp,,https://owasp.org/www-project-top-ten/
official-cisco-networking,Cisco Networking Academy Courses,Official Learning Catalog,Beginner,,600,"Learn networking, TCP/IP, routing, switching, cybersecurity, Linux, automation, and entry-level IT support skills.",networking|tcp-ip|cybersecurity|linux,network-engineer|systems-administrator|it-support-engineer,cisco,,https://www.netacad.com/catalogs/learn
official-redhat-linux,Red Hat Enterprise Linux Learning,Official Learning Catalog,Intermediate,,480,"Learn Linux command-line administration, users, storage, services, networking, security, Bash, and containers.",linux|bash|system-administration|containers,systems-administrator|platform-engineer,red-hat-linux,,https://www.redhat.com/en/services/training-and-certification
official-playwright-intro,Playwright Introduction,Official Learning Catalog,Intermediate,,240,"Build reliable end-to-end tests with Playwright, browser automation, fixtures, assertions, debugging, and CI integration.",playwright|test-automation|typescript|testing,qa-automation-engineer|frontend-engineer,playwright|typescript,,https://playwright.dev/docs/intro
official-servicenow-learning,ServiceNow Learning,Official Learning Catalog,Beginner,,360,"Learn ServiceNow platform fundamentals, IT service management, workflows, administration, and application development.",servicenow|itil|it-service-management|workflows,servicenow-consultant|it-support-analyst,servicenow,,https://nowlearning.servicenow.com/
