external_id,title,company,location,remote_type,salary_min,salary_max,posted_at,url,description
tech-job-001,Senior Backend Engineer,Northstar Commerce,Remote,Remote,125000,165000,2026-07-18,https://example.com/jobs/backend-engineer-001,"Build Java Spring Boot microservices with PostgreSQL Redis Kafka REST APIs Docker Kubernetes AWS CI/CD and Git."
tech-job-002,Frontend Engineer,BrightCart,New York NY,Hybrid,110000,145000,2026-07-17,https://example.com/jobs/frontend-engineer-002,"Develop accessible web applications with TypeScript JavaScript React Next.js HTML CSS Git Playwright and automated testing."
tech-job-003,Full Stack Engineer,LaunchWorks,Austin TX,Hybrid,115000,150000,2026-07-16,https://example.com/jobs/full-stack-engineer-003,"Ship React Node.js TypeScript GraphQL MongoDB PostgreSQL Docker APIs and microservices across the full product stack."
tech-job-004,.NET Backend Developer,MetroHealth,Boston MA,On-site,105000,140000,2026-07-15,https://example.com/jobs/dotnet-developer-004,"Build C# .NET APIs and SQL Server services on Azure using Docker Git CI/CD and test automation."
tech-job-005,Android Mobile Engineer,SwiftPay,Remote,Remote,115000,150000,2026-07-14,https://example.com/jobs/android-engineer-005,"Create Kotlin Android applications that integrate REST APIs PostgreSQL-backed services Git CI/CD and automated testing."
tech-job-006,QA Automation Engineer,QualityGrid,Chicago IL,Hybrid,90000,120000,2026-07-13,https://example.com/jobs/qa-automation-006,"Own test automation with Playwright Selenium pytest GitHub Actions CI/CD APIs JavaScript Python and Agile delivery."
tech-job-007,Machine Learning Engineer,ModelWorks,Remote,Remote,130000,175000,2026-07-18,https://example.com/jobs/ml-engineer-007,"Productionize Python scikit-learn PyTorch MLflow MLOps Docker Kubernetes AWS APIs and model monitoring workflows."
tech-job-008,Generative AI Engineer,Context Labs,San Francisco CA,Hybrid,145000,195000,2026-07-17,https://example.com/jobs/ai-engineer-008,"Build GenAI and LLM applications with RAG pipelines LangChain Hugging Face prompt engineering Python FastAPI Docker and responsible AI."
tech-job-009,NLP Engineer,Language Systems,Remote,Remote,135000,180000,2026-07-16,https://example.com/jobs/nlp-engineer-009,"Develop NLP and LLM systems with Python PyTorch Hugging Face RAG APIs Docker Kubernetes and model evaluation."
tech-job-010,Computer Vision Engineer,VisionForge,Seattle WA,Hybrid,138000,185000,2026-07-15,https://example.com/jobs/cv-engineer-010,"Train computer vision and deep learning models with Python PyTorch OpenCV C++ Docker Kubernetes and AWS."
tech-job-011,MLOps Engineer,Inference Cloud,Remote,Remote,135000,180000,2026-07-14,https://example.com/jobs/mlops-engineer-011,"Operate MLOps platforms with MLflow Kubernetes Terraform Docker GitHub Actions Prometheus Grafana Python and AWS."
