external_id,title,company,location,remote_type,salary_min,salary_max,posted_at,url,description
curated-job-001,Data Engineer,Northstar Analytics,New York NY,Hybrid,112000,148000,2026-06-20,https://example.com/jobs/curated-data-engineer-001,"Build batch and streaming data pipelines using Python SQL Airflow dbt Spark PostgreSQL and AWS. Own data quality checks data modeling and orchestration for analytics-ready datasets."
curated-job-002,Analytics Engineer,BrightCart,Remote,Remote,105000,136000,2026-06-19,https://example.com/jobs/curated-analytics-engineer-002,"Develop ELT models with dbt SQL PostgreSQL and Python. Partner with analysts to define semantic layers dashboards metrics tests and data quality validation."
curated-job-003,Senior Data Analyst,BrightCart,Chicago IL,Hybrid,85000,112000,2026-06-18,https://example.com/jobs/curated-data-analyst-003,"Analyze ecommerce performance with SQL Python Excel Power BI A/B testing forecasting and statistics. Build KPI dashboards and explain product growth drivers."
curated-job-004,Business Intelligence Developer,MetroHealth Insights,Boston MA,On-site,92000,125000,2026-06-17,https://example.com/jobs/curated-bi-developer-004,"Create Power BI dashboards DAX measures data visualization models SQL Server views and executive reporting. Improve governed metric definitions and dashboard adoption."
curated-job-005,Data Scientist,CareMap AI,Boston MA,On-site,128000,170000,2026-06-16,https://example.com/jobs/curated-data-scientist-005,"Train machine learning models using Python pandas scikit-learn NLP statistics and responsible AI practices. Evaluate models and communicate insights to clinical operations."
curated-job-006,Machine Learning Engineer,CareMap AI,Remote,Remote,145000,190000,2026-06-15,https://example.com/jobs/curated-ml-engineer-006,"Productionize machine learning and deep learning models with Python PyTorch TensorFlow Docker APIs AWS and data quality monitoring. Build feature pipelines and model governance workflows."
curated-job-007,Cloud Data Engineer,FinOps Cloud,Seattle WA,Hybrid,125000,165000,2026-06-14,https://example.com/jobs/curated-cloud-data-engineer-007,"Design cloud data platforms on Azure AWS Databricks Spark and Azure Data Factory. Implement data pipelines ELT orchestration data modeling and cost-aware warehouse patterns."
curated-job-008,Data Platform Engineer,GreenGrid Energy,Austin TX,Hybrid,118000,154000,2026-06-13,https://example.com/jobs/curated-platform-engineer-008,"Maintain PostgreSQL MySQL NoSQL and data lake services. Build Python APIs Docker deployments Git workflows and data quality alerts for analytics teams."
curated-job-009,Product Data Analyst,Streamline Media,Remote,Remote,88000,118000,2026-06-12,https://example.com/jobs/curated-product-analyst-009,"Measure product funnels with SQL Python A/B testing statistics forecasting Tableau and data visualization. Translate behavioral data into roadmap recommendations."
curated-job-010,Marketing Analytics Manager,Streamline Media,New York NY,Hybrid,110000,145000,2026-06-11,https://example.com/jobs/curated-marketing-analytics-010,"Lead marketing analytics with SQL Power BI Tableau Excel forecasting statistics and experimentation. Build dashboards for campaign ROI CAC and retention."
curated-job-011,Junior Data Analyst,OpenGov Labs,Washington DC,On-site,68000,85000,2026-06-10,https://example.com/jobs/curated-junior-analyst-011,"Use SQL Excel Python pandas and Power BI to clean public sector datasets build recurring reports and validate data quality. Support dashboard refreshes and stakeholder requests."
curated-job-012,Data Quality Analyst,TrustBank,Charlotte NC,Hybrid,90000,120000,2026-06-09,https://example.com/jobs/curated-data-quality-012,"Design data quality checks validation rules anomaly detection SQL tests and dashboard monitoring. Partner with data engineers on PostgreSQL dbt and governance workflows."
